Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
1711   永光            ,4,"69,350",344,"5,968,700"
1712   興農            ,0,0,14,"588,300"
1713   國化            ,0,0,2,"86,000"
1714   和桐            ,0,0,21,"170,820"
1717   長興            ,18,"686,400","1,526","58,659,900"
1718   中纖            ,0,0,247,"1,672,590"
1720   生達            ,0,0,0,0
1721   三晃            ,0,0,0,0
1722   台肥            ,0,0,420,"19,735,100"
1723   中碳            ,0,0,150,"11,434,000"
1725   元禎            ,0,0,0,0
1726   永記            ,0,0,0,0
1727   中華化          ,25,"928,950",25,"937,800"
1730   花仙子          ,0,0,0,0
1731   美吾華          ,0,0,0,0
1732   毛寶            ,0,0,15,"429,250"
1733   五鼎            ,0,0,15,"455,150"
1734   杏輝            ,0,0,1,"30,500"
1735   日勝化          ,0,0,0,0
1736   喬山            ,4,"593,500",56,"8,310,500"
1737   臺鹽            ,0,0,4,"126,500"
1752   南光            ,0,0,0,0
1760   寶齡富錦        ,1,"63,500",0,0
1762   中化生          ,0,0,2,"48,650"
1773   勝一            ,0,0,10,"1,327,000"
1776   展宇            ,0,0,0,0
1783   和康生          ,0,0,1,"42,150"
1786   科妍            ,0,0,1,"77,100"
1789   神隆            ,0,0,15,"253,900"
1795   美時            ,4,"1,108,500",99,"27,688,000"
1802   台玻            ,614,"19,773,500","3,000","95,881,900"
1805   寶徠            ,0,0,0,0
1806   冠軍            ,0,0,2,"17,570"
1809   中釉            ,3,"51,700",12,"210,000"
1810   和成            ,1,"16,350",136,"2,238,000"
1817   凱撒衛          ,0,0,0,0
1903   士紙            ,2,"109,100",1,"55,700"
1904   正隆            ,0,0,78,"1,396,300"
1905   華紙            ,5,"58,500",383,"4,464,600"
1906   寶隆            ,0,0,0,0
1907   永豐餘          ,0,0,75,"2,030,250"
1909   榮成            ,0,0,3,"30,200"
2002   中鋼            ,3,"53,250","7,260","128,702,050"
2006   東和鋼鐵        ,0,0,426,"26,569,800"
2007   燁興            ,0,0,0,0
2008   高興昌          ,0,0,0,0
2009   第一銅          ,10,"378,000",149,"5,584,200"
2010   春源            ,0,0,20,"395,900"
2012   春雨            ,0,0,0,0
2013   中鋼構          ,0,0,0,0
2014   中鴻            ,0,0,81,"1,156,550"
2015   豐興            ,0,0,12,"742,900"
2017   官田鋼          ,0,0,13,"108,190"
2020   美亞            ,0,0,3,"67,500"
2022   聚亨            ,0,0,0,0
2023   燁輝            ,0,0,151,"2,220,850"
2024   志聯            ,0,0,0,0
2025   千興            ,0,0,0,0
2027   大成鋼          ,15,"534,800",953,"34,013,900"
2028   威致            ,0,0,0,0
2029   盛餘            ,0,0,0,0
2030   彰源            ,0,0,4,"54,900"
