證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
2489   瑞軒            ,7,"81,800",44,"531,150",
2491   吉祥全          ,0,0,0,0,
2492   華新科          ,349,"78,255,000",280,"64,856,000",
2493   揚博            ,0,0,35,"1,216,000",
2495   普安            ,0,0,0,0,
2496   卓越            ,0,0,0,0,
2497   怡利電          ,4,"147,350",57,"2,099,000",
2498   宏達電          ,66,"1,995,100",907,"27,543,050",
2501   國建            ,0,0,78,"1,530,100",
2504   國產            ,28,"670,750",39,"939,800",
2505   國揚            ,35,"1,308,400",70,"2,542,400",
2506   太設            ,0,0,14,"137,160",
2509   全坤建          ,0,0,0,0,
2511   太子            ,1,"11,250",45,"506,100",
2514   龍邦            ,0,0,0,0,
2515   中工            ,10,"98,030",349,"3,484,000",
2516   新建            ,0,0,0,0,
2520   冠德            ,7,"235,950",22,"739,850",
2524   京城            ,1,"38,100",0,0,
2527   宏璟            ,0,0,1,"18,950",
2528   皇普            ,0,0,0,0,
2530   華建            ,0,0,36,"504,700",
2534   宏盛            ,0,0,105,"2,029,600",
2535   達欣工          ,0,0,104,"2,813,650",
2536   宏普            ,0,0,3,"67,700",
2537   聯上發          ,0,0,184,"1,766,150",
2538   基泰            ,0,0,51,"511,850",
2539   櫻花建          ,81,"2,491,200",15,"461,550",
2540   愛山林          ,0,0,0,0,
2542   興富發          ,47,"2,144,900",640,"29,037,050",
2543   皇昌            ,0,0,0,0,
2545   皇翔            ,0,0,7,"262,400",
2546   根基            ,0,0,1,"49,200",
2547   日勝生          ,1,"11,800",22,"268,400",
2548   華固            ,0,0,8,"701,400",
2597   潤弘            ,0,0,0,0,
2601   益航            ,42,"454,700",647,"7,198,950",
2603   長榮            ,"3,631","158,662,450",581,"25,852,850",
2605   新興            ,146,"3,170,000",310,"6,916,500",
2606   裕民            ,22,"790,900",165,"6,103,550",
2607   榮運            ,65,"1,220,850",896,"17,219,400",
2608   嘉里大榮        ,0,0,3,"136,950",
2609   陽明            ,0,0,0,0,
2610   華航            ,251,"2,840,200","1,640","18,512,350",
2611   志信            ,519,"8,144,350",5,"78,500",
2612   中航            ,78,"2,664,950",35,"1,246,550",
2613   中櫃            ,4,"89,200",0,0,
2614   東森            ,0,0,120,"2,061,750",
2615   萬海            ,755,"39,291,700",176,"9,352,500",
2616   山隆            ,0,0,0,0,
2617   台航            ,92,"1,935,950",30,"634,700",
2618   長榮航          ,41,"531,450","2,905","37,783,800",
