證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
1905   華紙            ,23,"300,600",553,"7,037,150",
1906   寶隆            ,0,0,9,"113,400",
1907   永豐餘          ,0,0,70,"1,906,800",
1909   榮成            ,15,"155,800",0,0,
2002   中鋼            ,43,"770,500","7,341","131,675,650",
2006   東和鋼鐵        ,0,0,133,"8,102,100",
2007   燁興            ,0,0,0,0,
2008   高興昌          ,0,0,0,0,
2009   第一銅          ,36,"1,431,900",317,"12,780,450",
2010   春源            ,0,0,0,0,
2012   春雨            ,0,0,0,0,
2013   中鋼構          ,0,0,0,0,
2014   中鴻            ,0,0,95,"1,422,600",
2015   豐興            ,0,0,7,"442,400",
2017   官田鋼          ,0,0,9,"79,450",
2020   美亞            ,0,0,34,"779,400",
2022   聚亨            ,0,0,0,0,
2023   燁輝            ,10,"144,750",423,"6,172,300",
2024   志聯            ,0,0,0,0,
2025   千興            ,0,0,0,0,
2027   大成鋼          ,2,"77,350",24,"930,250",
2028   威致            ,0,0,0,0,
2029   盛餘            ,0,0,1,"20,650",
2030   彰源            ,0,0,0,0,
2031   新光鋼          ,0,0,72,"2,663,450",
2032   新鋼            ,0,0,0,0,
2033   佳大            ,0,0,0,0,
2034   允強            ,33,"671,750",36,"724,150",
2038   海光            ,10,"137,100",25,"344,100",
2049   上銀            ,28,"5,482,500",943,"184,527,500",
2059   川湖            ,0,0,2,"7,440,000",
2062   橋椿            ,0,0,0,0,
2069   運錩            ,0,0,0,0,
2101   南港            ,0,0,96,"3,495,650",
2102   泰豐            ,0,0,14,"278,300",
2103   台橡            ,1,"14,450",381,"5,554,500",
2104   國際中橡        ,0,0,305,"3,028,730",
2105   正新            ,16,"516,050","2,311","74,710,750",
2106   建大            ,1,"20,600",29,"602,400",
2107   厚生            ,0,0,2,"47,500",
2108   南帝            ,0,0,0,0,
2109   華豐            ,0,0,0,0,
2114   鑫永銓          ,0,0,0,0,
2115   六暉-KY         ,0,0,1,"25,900",
2201   裕隆            ,188,"7,415,950","1,469","59,500,050",
2204   中華            ,0,0,118,"7,055,400",
2206   三陽工業        ,0,0,44,"2,785,700",
2207   和泰車          ,0,0,40,"24,016,000",
2208   台船            ,0,0,0,0,
2211   長榮鋼          ,0,0,11,"1,178,500",
2227   裕日車          ,0,0,0,0,
2228   劍麟            ,6,"565,200",14,"1,316,400",
2231   為升            ,6,"574,000",146,"14,132,700",
2233   宇隆            ,11,"2,184,000",37,"7,280,500",
2236   百達-KY         ,82,"6,951,100",9,"766,100",
2239   英利-KY         ,0,0,0,0,
2241   艾姆勒          ,31,"1,159,150",0,0,
2243   宏旭-KY         ,0,0,0,0,
2247   汎德永業        ,0,0,0,0,
2248   華勝-KY         ,0,0,0,0,
2250   IKKA-KY         ,0,0,15,"1,165,000",
2254   巨鎧精密-創     ,0,0,0,0,
2258   鴻華先進-創     ,0,0,0,0,
2301   光寶科          ,170,"27,818,500","2,405","392,709,000",
2302   麗正            ,0,0,2,"38,400",
2303   聯電            ,47,"2,068,150",267,"11,735,200",
2305   全友            ,0,0,0,0,
2308   台達電          ,38,"35,444,000",1,"929,000",
2312   金寶            ,8,"171,400","1,963","42,419,050",
2313   華通            ,52,"4,238,700",65,"5,296,600",
2314   台揚            ,0,0,0,0,
2316   楠梓電          ,348,"32,244,100",806,"76,131,100",
2317   鴻海            ,93,"22,042,000",676,"160,554,500",
2321   東訊            ,0,0,0,0,
2323   中環            ,1,"9,700",6,"57,600",
2324   仁寶            ,72,"2,121,750","8,986","264,204,300",
2327   國巨*           ,67,"15,287,000","2,701","627,922,500",
2328   廣宇            ,18,"878,800",0,0,
2329   華泰            ,108,"5,577,500",560,"28,573,950",
2330   台積電          ,12,"17,400,000",260,"376,400,000",
2331   精英            ,4,"84,550",52,"1,084,200",
2332   友訊            ,12,"188,300",110,"1,708,850",
2337   旺宏            ,872,"33,696,500","8,314","324,376,750",
2338   光罩            ,23,"825,800",28,"1,005,950",
2340   台亞            ,4,"101,150",30,"750,000",
2342   茂矽            ,13,"405,550",123,"3,758,250",
2344   華邦電          ,278,"18,370,200","1,000","65,651,600",
2345   智邦            ,3,"3,015,000",179,"178,457,000",
2347   聯強            ,2,"118,000","1,210","71,356,600",
2348   海悅            ,10,"788,700",53,"4,180,500",
2349   錸德            ,0,0,0,0,
2351   順德            ,6,"509,500",20,"1,680,500",
2352   佳世達          ,5,"138,150",291,"8,003,400",
2353   宏��            ,385,"11,056,150","2,601","74,924,250",
2354   鴻準            ,30,"2,000,700","1,949","129,992,800",
2355   敬鵬            ,2,"61,050",71,"2,174,450",
2356   英業達          ,30,"1,252,700","3,313","138,634,900",
2357   華碩            ,7,"4,356,000",881,"548,520,000",
2359   所羅門          ,25,"3,108,000",10,"1,238,500",
2360   致茂            ,0,0,69,"53,539,000",
2362   藍天            ,0,0,56,"2,389,850",
2363   矽統            ,6,"298,150",28,"1,407,450",
2364   倫飛            ,19,"1,501,900",43,"3,438,600",
2365   昆盈            ,122,"4,191,150",21,"718,550",
2367   燿華            ,24,"590,750",736,"18,209,700",
2368   金像電          ,58,"32,013,000",97,"53,691,000",
2369   菱生            ,16,"356,150",530,"11,784,050",
2371   大同            ,143,"4,509,700","3,200","101,374,200",
2373   震旦行          ,0,0,0,0,
2374   佳能            ,113,"9,359,100",307,"25,542,900",
2375   凱美            ,104,"10,041,000",174,"16,893,000",
2376   技嘉            ,664,"171,595,000","1,795","464,228,500",
2377   微星            ,54,"5,520,000",653,"67,066,000",
2379   瑞昱            ,2,"1,003,000",600,"300,032,000",
