Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
1475   業旺            ,0,0,0,0
1476   儒鴻            ,0,0,6,"3,285,000"
1477   聚陽            ,2,"756,500",140,"52,654,000"
1503   士電            ,7,"824,000",339,"40,198,500"
1504   東元            ,4,"179,350",133,"5,979,650"
1506   正道            ,0,0,0,0
1512   瑞利            ,0,0,0,0
1513   中興電          ,9,"1,088,500",331,"39,939,500"
1514   亞力            ,112,"9,186,700",208,"16,983,700"
1515   力山            ,13,"614,800",10,"478,250"
1516   川飛            ,0,0,0,0
1517   利奇            ,3,"45,900",0,0
1519   華城            ,355,"129,670,500",77,"27,814,000"
1521   大億            ,0,0,0,0
1522   堤維西          ,0,0,124,"4,744,150"
1524   耿鼎            ,2,"61,050",9,"275,250"
1525   江申            ,0,0,0,0
1526   日馳            ,0,0,0,0
1527   鑽全            ,0,0,0,0
1528   恩德            ,72,"936,900",233,"3,058,800"
1529   樂事綠能        ,1,"33,300",21,"697,500"
1530   亞崴            ,0,0,0,0
1531   高林股          ,0,0,0,0
1532   勤美            ,1,"39,600",0,0
1533   車王電          ,1,"53,100",6,"317,500"
1535   中宇            ,0,0,0,0
1536   和大            ,1,"56,200",282,"15,865,900"
1537   廣隆            ,0,0,2,"262,500"
1538   正峰            ,0,0,0,0
1539   巨庭            ,0,0,0,0
1540   喬福            ,1,"17,450",1,"17,600"
1541   錩泰            ,0,0,0,0
1558   伸興            ,0,0,2,"207,000"
1560   中砂            ,32,"6,161,000",68,"12,993,000"
1568   倉佑            ,2,"58,800",4,"118,500"
1582   信錦            ,0,0,18,"1,348,200"
1583   程泰            ,0,0,0,0
1587   吉茂            ,0,0,0,0
1589   永冠-KY         ,40,"2,057,200",80,"4,114,200"
1590   亞德客-KY       ,0,0,0,0
1597   直得            ,0,0,0,0
1598   岱宇            ,0,0,1,"33,900"
1603   華電            ,0,0,54,"1,861,250"
1604   聲寶            ,0,0,0,0
1605   華新            ,7,"252,400","1,034","37,305,700"
1608   華榮            ,25,"507,500",29,"591,900"
1609   大亞            ,12,"410,600",47,"1,604,200"
1611   中電            ,0,0,24,"411,700"
1612   宏泰            ,19,"517,050",38,"1,040,400"
1614   三洋電          ,0,0,0,0
1615   大山            ,0,0,0,0
1616   億泰            ,0,0,0,0
1617   榮星            ,0,0,0,0
1618   合機            ,11,"338,650",63,"1,938,750"
1626   艾美特-KY       ,0,0,0,0
1701   中化            ,6,"144,300",0,0
1702   南僑            ,0,0,0,0
1707   葡萄王          ,0,0,0,0
1708   東鹼            ,0,0,1,"32,050"
1709   和益            ,0,0,12,"248,750"
1710   東聯            ,1,"19,250",212,"4,086,200"
1711   永光            ,0,0,28,"532,800"
1712   興農            ,0,0,3,"114,500"
1713   國化            ,0,0,0,0
1714   和桐            ,8,"73,740",0,0
1717   長興            ,0,0,8,"226,900"
