證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2481,強茂,65.00,4.62,110,12.08,1.81,111/3
2482,連宇,26.70,0.0,110,12.03,1.87,111/3
2483,百容,25.10,3.98,110,15.12,1.04,111/3
2484,希華,37.10,4.04,110,7.46,1.47,111/3
2485,兆赫,18.90,0.0,110,-,0.97,111/3
2486,一詮,24.40,2.05,110,42.81,1.31,111/3
2488,漢平,29.25,4.1,110,7.99,1.02,111/3
2489,瑞軒,9.76,12.81,110,-,0.56,111/3
2491,吉祥全,12.55,0.8,110,-,1.35,111/3
2492,華新科,83.20,5.42,110,13.08,0.9,111/3
2493,揚博,43.60,6.31,110,9.03,1.94,111/3
2495,普安,23.25,1.72,110,28.01,1.56,111/3
2496,卓越,47.50,6.32,110,13.01,1.14,111/3
2497,怡利電,80.10,0.0,110,27.81,5.06,111/3
2498,宏達電,58.40,0.0,110,-,1.8,111/3
2501,國建,15.80,3.8,110,15.49,0.78,111/3
2504,國產,25.30,7.11,110,7.01,1.3,111/3
2505,國揚,18.90,5.29,110,10.33,0.75,111/3
2506,太設,9.43,1.06,110,4.84,0.46,111/3
2509,全坤建,14.55,0.0,110,-,0.75,111/3
2511,太子,10.80,4.63,110,12.27,0.69,111/3
2514,龍邦,17.95,0.0,110,20.17,0.61,111/3
2515,中工,8.51,6.23,110,4.39,0.58,111/3
2516,新建,5.10,0.0,110,-,0.75,111/3
2520,冠德,28.75,8.7,110,5.87,0.88,111/3
2524,京城,33.75,0.0,110,12.05,0.75,111/3
2527,宏璟,21.65,13.86,110,9.84,0.65,111/3
2528,皇普,16.10,2.92,110,12.38,1.2,111/3
2530,華建,17.90,0.0,110,255.71,1.52,111/3
2534,宏盛,24.60,4.88,110,10.04,0.84,111/3
2535,達欣工,29.60,8.45,110,8.29,1.09,111/3
2536,宏普,22.45,0.0,110,-,0.64,111/3
2537,聯上發,7.26,12.4,110,12.96,0.52,111/3
2538,基泰,12.10,4.13,110,17.54,0.89,111/3
2539,櫻花建,32.35,3.99,110,12.21,2.38,111/3
2540,愛山林,73.00,13.01,110,23.47,3.32,111/3
2542,興富發,42.60,11.76,110,30.21,1.52,111/3
2543,皇昌,9.18,0.0,110,4.17,0.85,111/3
2545,皇翔,41.20,15.29,110,4.25,1.12,111/3
2546,根基,51.00,7.06,110,7.96,1.63,111/3
2547,日勝生,9.18,2.18,110,30.60,0.75,111/3
2548,華固,87.60,8.56,110,5.68,1.25,111/3
2597,潤弘,119.00,7.56,110,10.60,4.29,111/3
2601,益航,8.94,0.0,110,68.77,0.68,111/3
2603,長榮,152.00,11.84,110,0.84,0.6,111/3
2605,新興,19.95,5.01,110,52.50,0.72,111/3
2606,裕民,48.20,6.22,110,7.23,1.21,111/3
2607,榮運,27.65,1.45,110,8.83,1.01,111/3
2608,嘉里大榮,37.95,4.35,110,13.18,1.6,111/3
2609,陽明,62.00,32.26,110,0.98,0.65,111/3
2610,華航,19.25,4.31,110,10.13,1.66,111/3
2611,志信,13.50,14.81,110,-,1.04,111/3
2612,中航,35.70,7.51,110,8.60,0.59,111/3
2613,中櫃,22.70,7.27,110,13.76,0.98,111/3
2614,東森,23.25,4.3,110,54.07,2.08,111/3
2615,萬海,70.70,16.97,110,1.56,0.85,111/3
2616,山隆,32.25,7.75,110,15.66,0.93,111/3
2617,台航,26.30,7.6,110,5.39,0.71,111/3
2618,長榮航,28.20,2.09,110,11.15,1.79,111/3
2630,亞航,17.10,2.69,110,106.88,1.44,111/3
2633,台灣高鐵,28.95,2.63,110,53.61,2.48,111/3
2634,漢翔,35.00,1.0,110,21.08,2.12,111/3
2636,台驊控股,71.40,18.21,110,2.88,1.04,111/3
2637,慧洋-KY,58.80,9.35,110,3.48,0.89,111/3
2642,宅配通,47.00,4.47,110,24.48,2.16,111/3
2701,萬企,12.20,1.39,110,25.42,0.69,111/3
2702,華園,23.20,19.4,110,1.66,1.17,111/3
2704,國賓,31.15,0.0,110,222.50,0.95,111/3
2705,六福,16.90,0.0,110,-,0.66,111/3
2706,第一店,14.30,0.98,110,25.09,0.75,111/3
2707,晶華,252.50,4.91,110,35.82,7.91,111/3
2712,遠雄來,33.00,0.0,110,550.00,2.88,111/3
2722,夏都,34.30,0.58,110,22.27,2.01,111/3
2723,美食-KY,143.50,3.48,110,48.48,2.36,111/3
2727,王品,163.00,0.0,110,46.97,4.09,111/3
2731,雄獅,103.00,0.0,110,-,6.79,111/3
2739,寒舍,29.65,0.0,110,-,4.53,111/3
2748,雲品,58.50,0.85,110,34.82,3.0,111/3
2753,八方雲集,211.50,3.07,110,21.80,4.48,111/3
2801,彰銀,17.45,3.44,110,17.45,1.11,111/3
2809,京城銀,36.00,5.83,110,49.32,1.01,111/3
2812,台中銀,13.10,5.73,110,12.02,0.96,111/3
2816,旺旺保,16.00,6.25,110,-,0.68,111/3
2820,華票,14.50,6.21,110,14.50,0.9,111/3
2832,台產,20.50,3.66,110,6.72,0.75,111/3
2834,臺企銀,13.00,3.62,110,12.62,1.05,111/3
2836,高雄銀,12.65,4.43,110,15.62,1.0,111/3
2838,聯邦銀,16.15,6.44,110,18.78,1.04,111/3
2845,遠東銀,11.25,5.24,110,13.72,0.85,111/3
2849,安泰銀,15.00,4.87,110,14.15,0.89,111/3
2850,新產,47.70,6.71,110,7.43,1.05,111/3
2851,中再保,19.00,9.47,110,22.89,0.82,111/3
2852,第一保,15.80,7.66,110,7.71,0.65,111/3
2855,統一證,16.10,11.74,110,20.38,0.8,111/3
