證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1402,遠東新          ,"6,472,671","3,819,179","2,653,492",0.0,0.0,0.0,0,"142,000","-142,000","-641,859","5,000","450,747","-445,747","110,787","306,899","-196,112","1,869,633"
"=""059339""",元日2X元大4B購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,862,000",0,0,0,"1,862,000",0,"1,862,000","1,862,000"
3450,聯鈞            ,"4,622,190","2,933,899","1,688,291",0.0,0.0,0.0,"191,000","36,000","155,000","-5,031","24,487","29,518","-5,031","1,000","1,000",0,"1,838,260"
4532,瑞智            ,"2,116,678","1,464,052","652,626",0.0,0.0,0.0,"1,168,537","2,000","1,166,537","-20,523",477,"33,000","-32,523","12,000",0,"12,000","1,798,640"
"=""00915""",凱基優選高股息30,"73,000","379,000","-306,000",0.0,0.0,0.0,0,0,0,"2,092,933",0,0,0,"3,544,432","1,451,499","2,092,933","1,786,933"
"=""00946""",群益科技高息成長,"97,000","1,457,000","-1,360,000",0.0,0.0,0.0,0,0,0,"3,132,898",0,0,0,"6,481,877","3,348,979","3,132,898","1,772,898"
"=""00932""",兆豐永續高息等權,"21,000","1,000","20,000",0.0,0.0,0.0,0,0,0,"1,717,439",0,0,0,"1,986,000","268,561","1,717,439","1,737,439"
2812,台中銀          ,"2,498,000","614,000","1,884,000",0.0,0.0,0.0,0,"19,000","-19,000","-136,000",0,"116,000","-116,000",0,"20,000","-20,000","1,729,000"
"=""009804""",聯邦台精彩50    ,"52,000","2,431,000","-2,379,000",0.0,0.0,0.0,0,0,0,"4,105,564",0,0,0,"6,626,000","2,520,436","4,105,564","1,726,564"
"=""038957""",世芯元富56購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,718,000",0,0,0,"1,958,000","240,000","1,718,000","1,718,000"
2892,第一金          ,"22,094,708","19,360,590","2,734,118",0.0,0.0,0.0,"190,000","134,375","55,625","-1,143,030","14,000","452,030","-438,030","12,000","717,000","-705,000","1,646,713"
"=""077068""",華固凱基49購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,646,000",0,0,0,"1,666,000","20,000","1,646,000","1,646,000"
2809,京城銀          ,"2,879,235","1,796,207","1,083,028",0.0,0.0,0.0,"600,065","140,677","459,388","101,403",0,"28,597","-28,597","130,000",0,"130,000","1,643,819"
"=""07006P""",台積電元大48售35,0,0,0,0.0,0.0,0.0,0,0,0,"1,576,000",0,0,0,"1,769,000","193,000","1,576,000","1,576,000"
"=""06578P""",台積電元大47售21,0,0,0,0.0,0.0,0.0,0,0,0,"1,573,000",0,0,0,"1,690,000","117,000","1,573,000","1,573,000"
1303,南亞            ,"7,216,996","3,915,036","3,301,960",0.0,0.0,0.0,"46,000","968,545","-922,545","-813,675","32,348","158,863","-126,515","36,000","723,160","-687,160","1,565,740"
2603,長榮            ,"5,067,020","3,779,371","1,287,649",0.0,0.0,0.0,"513,000","58,369","454,631","-187,622","69,000","92,000","-23,000","64,920","229,542","-164,622","1,554,658"
2354,鴻準            ,"4,703,688","3,033,000","1,670,688",0.0,0.0,0.0,"13,000","1,743","11,257","-142,865","54,296","116,136","-61,840","19,490","100,515","-81,025","1,539,080"
"=""059517""",元日2X凱基4A購03,0,0,0,0.0,0.0,0.0,0,0,0,"1,507,000",0,0,0,"1,606,000","99,000","1,507,000","1,507,000"
"=""065736""",日電貿元大47購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,506,000",0,0,0,"1,506,000",0,"1,506,000","1,506,000"
"=""069771""",聯發科國泰49購02,0,0,0,0.0,0.0,0.0,0,0,0,"1,505,000",0,0,0,"1,595,000","90,000","1,505,000","1,505,000"
3035,智原            ,"3,201,020","1,646,040","1,554,980",0.0,0.0,0.0,"87,000","2,000","85,000","-140,822","27,642","174,276","-146,634","92,080","86,268","5,812","1,499,158"
"=""088776""",元日2X元富4A購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,498,000",0,0,0,"1,498,000",0,"1,498,000","1,498,000"
"=""045313""",臺股指元大56購23,0,0,0,0.0,0.0,0.0,0,0,0,"1,497,000",0,0,0,"1,497,000",0,"1,497,000","1,497,000"
"=""078476""",元日2X國泰51購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,480,000",0,0,0,"1,480,000",0,"1,480,000","1,480,000"
"=""048982""",元日2X元富53購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,460,000",0,0,0,"1,497,000","37,000","1,460,000","1,460,000"
"=""078916""",T50反1元大4C購05,0,0,0,0.0,0.0,0.0,0,0,0,"1,426,000",0,0,0,"1,430,000","4,000","1,426,000","1,426,000"
"=""032178""",緯穎群益4B購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,411,000",0,0,0,"1,969,000","558,000","1,411,000","1,411,000"
"=""056180""",元日2X國票46購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,366,000",0,0,0,"1,367,000","1,000","1,366,000","1,366,000"
"=""06535P""",貿聯元大47售02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,337,000",0,0,0,"1,337,000",0,"1,337,000","1,337,000"
"=""07684P""",亞德客凱基49售03,0,0,0,0.0,0.0,0.0,0,0,0,"1,334,000",0,0,0,"1,386,000","52,000","1,334,000","1,334,000"
1514,亞力            ,"5,734,028","4,442,830","1,291,198",0.0,0.0,0.0,0,0,0,"31,422","22,000","24,060","-2,060","47,543","14,061","33,482","1,322,620"
"=""079621""",穎崴群益53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,321,000",0,0,0,"1,344,000","23,000","1,321,000","1,321,000"
"=""032225""",元日2X元富4B購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,315,000",0,0,0,"1,643,000","328,000","1,315,000","1,315,000"
"=""07606P""",台塑化統一51售04,0,0,0,0.0,0.0,0.0,0,0,0,"1,312,000",0,0,0,"1,312,000",0,"1,312,000","1,312,000"
"=""067862""",緯穎凱基48購07  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,299,000",0,0,0,"1,299,000",0,"1,299,000","1,299,000"
2474,可成            ,"2,617,922","1,441,675","1,176,247",0.0,0.0,0.0,"351,857","148,723","203,134","-106,325",0,"25,000","-25,000","2,233","83,558","-81,325","1,273,056"
"=""078918""",SGBR2X元大4A購03,0,0,0,0.0,0.0,0.0,0,0,0,"1,273,000",0,0,0,"1,515,000","242,000","1,273,000","1,273,000"
3036,文曄            ,"2,184,000","811,019","1,372,981",0.0,0.0,0.0,"17,000","7,000","10,000","-113,742","1,620","64,362","-62,742","26,000","77,000","-51,000","1,269,239"
9945,潤泰新          ,"3,706,661","2,254,000","1,452,661",0.0,0.0,0.0,0,"1,000","-1,000","-224,298","1,347","158,286","-156,939","9,000","76,359","-67,359","1,227,363"
8222,寶一            ,"8,694,866","7,545,651","1,149,215",0.0,0.0,0.0,0,0,0,"76,508","95,508","19,000","76,508",0,0,0,"1,225,723"
2838,聯邦銀          ,"1,672,000","227,000","1,445,000",0.0,0.0,0.0,0,0,0,"-228,049",0,"228,049","-228,049",0,0,0,"1,216,951"
"=""06040P""",台灣50元大46售15,0,0,0,0.0,0.0,0.0,0,0,0,"1,215,000",0,0,0,"1,221,000","6,000","1,215,000","1,215,000"
"=""07168P""",旺宏元大48售01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,210,000",0,0,0,"1,210,000",0,"1,210,000","1,210,000"
"=""059856""",全訊統一53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,200,000",0,0,0,"1,200,000",0,"1,200,000","1,200,000"
"=""00690""",兆豐藍籌30      ,"95,000","74,000","21,000",0.0,0.0,0.0,0,0,0,"1,178,732",0,0,0,"1,464,896","286,164","1,178,732","1,199,732"
4904,遠傳            ,"5,541,000","3,937,252","1,603,748",0.0,0.0,0.0,"287,000","681,708","-394,708","-49,979",21,"52,000","-51,979","32,000","30,000","2,000","1,159,061"
1301,台塑            ,"10,149,200","6,918,657","3,230,543",0.0,0.0,0.0,"33,000","800,195","-767,195","-1,325,569","19,717","262,207","-242,490","102,102","1,185,181","-1,083,079","1,137,779"
1618,合機            ,"2,820,493","1,719,207","1,101,286",0.0,0.0,0.0,0,0,0,"-9,748",0,"9,000","-9,000",753,"1,501",-748,"1,091,538"
2897,王道銀行        ,"1,617,150","412,000","1,205,150",0.0,0.0,0.0,0,"15,000","-15,000","-100,111",0,"100,111","-100,111",0,0,0,"1,090,039"
"=""072058""",晶心科元大48購05,0,0,0,0.0,0.0,0.0,0,0,0,"1,090,000",0,0,0,"1,090,000",0,"1,090,000","1,090,000"
3017,奇鋐            ,"2,288,104","1,593,476","694,628",0.0,0.0,0.0,"347,000","5,246","341,754","46,868","92,114","61,500","30,614","79,341","63,087","16,254","1,083,250"
2449,京元電子        ,"3,270,180","1,882,033","1,388,147",0.0,0.0,0.0,"146,000","283,446","-137,446","-170,637","70,959","153,456","-82,497","30,997","119,137","-88,140","1,080,064"
5871,中租-KY         ,"4,264,445","2,966,239","1,298,206",0.0,0.0,0.0,"78,000","106,043","-28,043","-203,379","10,064","34,000","-23,936","9,557","189,000","-179,443","1,066,784"
"=""070265""",金寶元富48購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,066,000",0,0,0,"1,066,000",0,"1,066,000","1,066,000"
"=""00907""",永豐優息存股    ,"52,000","169,000","-117,000",0.0,0.0,0.0,0,0,0,"1,166,848",0,0,0,"2,172,452","1,005,604","1,166,848","1,049,848"
1513,中興電          ,"2,787,057","1,603,005","1,184,052",0.0,0.0,0.0,"6,000","16,258","-10,258","-136,982","12,000","19,292","-7,292","41,860","171,550","-129,690","1,036,812"
1806,冠軍            ,"1,975,714","930,128","1,045,586",0.0,0.0,0.0,0,0,0,"-12,000",0,"12,000","-12,000",0,0,0,"1,033,586"
