證券代號,證券名稱,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""049689""",惠特元大43購02  ,0,0,0,0,0,0,"-402,000",0,0,0,"140,000","542,000","-402,000","-402,000"
"=""054810""",台積電國票44購07,0,0,0,0,0,0,"-405,000",0,0,0,"586,000","991,000","-405,000","-405,000"
"=""053933""",滬深2X統一48購03,0,0,0,0,0,0,"-405,000",0,0,0,"224,000","629,000","-405,000","-405,000"
"=""054445""",宏達電群益44購03,0,0,0,0,0,0,"-406,000",0,0,0,"151,000","557,000","-406,000","-406,000"
"=""06694P""",台灣50元大48售09,0,0,0,0,0,0,"-406,000",0,0,0,"95,000","501,000","-406,000","-406,000"
"=""055004""",宏致國票45購02  ,0,0,0,0,0,0,"-407,000",0,0,0,"1,489,000","1,896,000","-407,000","-407,000"
"=""054809""",光寶科凱基3B購03,0,0,0,0,0,0,"-407,000",0,0,0,"22,000","429,000","-407,000","-407,000"
"=""052962""",富邦金群益44購01,0,0,0,0,0,0,"-407,000",0,0,0,0,"407,000","-407,000","-407,000"
"=""056001""",鴻準元富44購01  ,0,0,0,0,0,0,"-410,000",0,0,0,"1,492,000","1,902,000","-410,000","-410,000"
"=""07344P""",臺股指群益48售27,0,0,0,0,0,0,"-410,000",0,0,0,0,"410,000","-410,000","-410,000"
"=""07550P""",南亞科凱基49售02,0,0,0,0,0,0,"-410,000",0,0,0,0,"410,000","-410,000","-410,000"
2360,致茂            ,"456,000","725,833","-269,833",0,"54,000","-54,000","-87,000","20,000","107,000","-87,000",0,0,0,"-410,833"
"=""051767""",華碩國泰45購03  ,0,0,0,0,0,0,"-411,000",0,0,0,"3,000","414,000","-411,000","-411,000"
"=""053199""",中502X元富4A購03,0,0,0,0,0,0,"-414,000",0,0,0,"12,000","426,000","-414,000","-414,000"
"=""055602""",佳必琪凱基46購02,0,0,0,0,0,0,"-414,000",0,0,0,"257,000","671,000","-414,000","-414,000"
"=""051744""",世紀鋼元大43購14,0,0,0,0,0,0,"-415,000",0,0,0,"10,000","425,000","-415,000","-415,000"
"=""051892""",聯發科兆豐44購03,0,0,0,0,0,0,"-415,000",0,0,0,"503,000","918,000","-415,000","-415,000"
"=""054089""",台積電富邦44購03,0,0,0,0,0,0,"-416,000",0,0,0,0,"416,000","-416,000","-416,000"
"=""055367""",香港2X凱基45購04,0,0,0,0,0,0,"-416,000",0,0,0,0,"416,000","-416,000","-416,000"
"=""053655""",儲能永豐46購01  ,0,0,0,0,0,0,"-417,000",0,0,0,"202,000","619,000","-417,000","-417,000"
"=""053707""",台灣50群益45購02,0,0,0,0,0,0,"-417,000",0,0,0,"99,000","516,000","-417,000","-417,000"
"=""052784""",上証2X群益4C購01,0,0,0,0,0,0,"-418,000",0,0,0,"355,000","773,000","-418,000","-418,000"
"=""055201""",鴻海統一4A購04  ,0,0,0,0,0,0,"-418,000",0,0,0,0,"418,000","-418,000","-418,000"
"=""052357""",十銓永豐46購01  ,0,0,0,0,0,0,"-424,000",0,0,0,"465,000","889,000","-424,000","-424,000"
"=""051937""",萬海統一59購01  ,0,0,0,0,0,0,"-424,000",0,0,0,"507,000","931,000","-424,000","-424,000"
"=""055344""",雲豹富邦48購01  ,0,0,0,0,0,0,"-426,000",0,0,0,"104,000","530,000","-426,000","-426,000"
"=""055104""",威盛元大48購03  ,0,0,0,0,0,0,"-430,000",0,0,0,"32,000","462,000","-430,000","-430,000"
"=""055727""",台積電元大44購66,0,0,0,0,0,0,"-431,000",0,0,0,"120,000","551,000","-431,000","-431,000"
"=""051808""",盟立凱基44購02  ,0,0,0,0,0,0,"-431,000",0,0,0,"30,000","461,000","-431,000","-431,000"
"=""051763""",長華元富49購01  ,0,0,0,0,0,0,"-432,000",0,0,0,"35,000","467,000","-432,000","-432,000"
"=""052477""",世芯國泰46購02  ,0,0,0,0,0,0,"-434,000",0,0,0,"54,000","488,000","-434,000","-434,000"
"=""053118""",華城凱基44購03  ,0,0,0,0,0,0,"-434,000",0,0,0,"112,000","546,000","-434,000","-434,000"
"=""054726""",雲豹台新44購01  ,0,0,0,0,0,0,"-435,000",0,0,0,"122,000","557,000","-435,000","-435,000"
"=""07114P""",大立光元大48售13,0,0,0,0,0,0,"-435,000",0,0,0,"1,247,000","1,682,000","-435,000","-435,000"
"=""00673R""",期元大S&P原油反1,0,0,0,0,0,0,"-435,000",0,"1,320,000","-1,320,000","891,000","6,000","885,000","-435,000"
"=""055285""",華城元大44購05  ,0,0,0,0,0,0,"-437,000",0,0,0,"94,000","531,000","-437,000","-437,000"
"=""054976""",時碩元富47購02  ,0,0,0,0,0,0,"-438,000",0,0,0,"257,000","695,000","-438,000","-438,000"
"=""054816""",威盛國票44購05  ,0,0,0,0,0,0,"-439,000",0,0,0,"12,000","451,000","-439,000","-439,000"
"=""06691P""",T50正2群益48售04,0,0,0,0,0,0,"-439,000",0,0,0,0,"439,000","-439,000","-439,000"
"=""053225""",滬深2X元大44購08,0,0,0,0,0,0,"-442,000",0,0,0,"106,000","548,000","-442,000","-442,000"
2325,矽品            ,"559,362","827,053","-267,691",0,0,0,"-176,000","91,000","56,000","35,000",0,"211,000","-211,000","-443,691"
