證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,Unnamed: 8
2012,春雨,15.40,6.49,113,44.00,1.13,114/3,
2013,中鋼構,42.00,4.76,113,14.19,1.54,114/3,
2014,中鴻,15.25,0.0,113,-,1.74,114/3,
2015,豐興,62.70,5.58,113,15.52,1.66,114/3,
2017,官田鋼,8.85,0.0,113,-,0.76,114/3,
2020,美亞,23.05,9.54,113,12.07,1.42,114/3,
2022,聚亨,8.30,0.0,113,-,0.83,114/3,
2023,燁輝,14.90,0.0,113,-,0.83,114/3,
2024,志聯,16.10,0.0,113,-,1.42,114/3,
2025,千興,9.17,0.0,113,-,1.13,114/3,
2027,大成鋼,38.20,2.88,113,14.81,1.27,114/3,
2028,威致,16.40,1.83,113,71.30,1.13,114/3,
2029,盛餘,20.70,6.04,113,19.71,0.67,114/3,
2030,彰源,13.80,5.14,113,44.52,0.81,114/3,
2031,新光鋼,39.10,6.39,113,16.16,1.08,114/3,
2032,新鋼,14.30,2.66,113,28.60,1.08,114/3,
2033,佳大,15.60,1.28,113,52.00,1.2,114/3,
2034,允強,20.55,4.87,113,-,1.14,114/3,
2038,海光,13.90,1.44,113,-,0.69,114/3,
2049,上銀,189.00,1.27,113,47.97,1.82,114/3,
2059,川湖,"3,605.00",0.89,113,40.51,14.03,114/3,
2062,橋椿,20.50,8.78,113,27.70,0.56,114/3,
2069,運錩,16.10,5.59,113,10.13,0.68,114/3,
2101,南港,37.75,1.32,113,-,2.42,114/3,
2102,泰豐,20.00,0.0,113,-,1.61,114/3,
2103,台橡,15.25,4.13,113,127.08,0.66,114/3,
2104,國際中橡,9.87,0.0,113,-,0.39,114/3,
2105,正新,32.00,7.5,113,20.25,1.26,114/3,
2106,建大,20.30,5.42,113,72.50,1.04,114/3,
2107,厚生,23.70,5.91,113,14.63,0.55,114/3,
2108,南帝,23.30,4.29,113,25.33,0.82,114/3,
2109,華豐,15.20,9.87,113,11.97,1.29,114/3,
2114,鑫永銓,89.90,5.56,113,16.44,2.3,114/3,
2115,六暉-KY,25.10,5.98,113,12.43,0.86,114/3,
2201,裕隆,36.00,3.61,113,27.27,0.62,114/3,
2204,中華,60.80,6.91,113,11.71,0.92,114/3,
2206,三陽工業,62.50,4.85,113,10.42,1.97,114/3,
2207,和泰車,602.00,3.32,113,18.35,4.24,114/3,
2208,台船,21.80,0.0,113,-,4.12,114/3,
2211,長榮鋼,118.50,4.22,113,13.99,1.83,114/3,
2227,裕日車,56.10,6.95,113,32.81,1.0,114/3,
2228,劍麟,102.00,8.82,113,15.04,1.72,114/3,
2231,為升,107.50,1.93,113,62.50,4.13,114/3,
2233,宇隆,197.50,3.54,113,26.76,3.18,114/3,
2236,百達-KY,94.40,0.73,113,17.29,2.85,114/3,
2239,英利-KY,33.15,0.0,113,-,0.36,114/3,
2241,艾姆勒,36.20,0.0,113,-,2.82,114/3,
2243,宏旭-KY,11.00,0.0,113,35.48,1.11,114/3,
2247,汎德永業,295.00,6.27,113,14.34,1.82,114/3,
2248,華勝-KY,50.00,5.46,113,10.42,1.6,114/3,
2250,IKKA-KY,75.30,5.07,113,19.41,1.32,114/3,
2254,巨鎧精密-創,60.20,0.0,113,-,3.35,114/3,
2258,鴻華先進-創,40.65,0.0,113,-,4.78,114/3,
2301,光寶科,158.00,2.85,113,25.08,4.29,114/3,
2302,麗正,19.05,3.04,113,24.74,1.77,114/3,
2303,聯電,45.95,6.2,113,14.36,1.6,114/3,
2305,全友,10.65,0.0,113,-,0.98,114/3,
2308,台達電,942.00,0.74,113,48.99,10.16,114/3,
2312,金寶,22.50,2.67,113,22.50,1.54,114/3,
2313,華通,85.30,2.81,113,17.06,2.29,114/3,
2314,台揚,23.70,0.0,113,-,10.92,114/3,
2316,楠梓電,117.50,0.43,113,9.72,1.83,114/3,
2317,鴻海,231.00,2.51,113,16.94,1.97,114/3,
2321,東訊,17.95,0.0,113,-,2.7,114/3,
2323,中環,9.39,3.19,113,-,0.58,114/3,
2324,仁寶,29.60,4.73,113,19.60,1.01,114/3,
2327,國巨*,236.00,2.12,113,23.65,3.09,114/3,
2328,廣宇,47.20,2.33,113,26.22,1.76,114/3,
2329,華泰,47.00,2.13,113,28.83,2.98,114/3,
2330,台積電,"1,435.00",1.18,113,23.45,7.45,114/3,
2331,精英,20.90,1.0,113,17.42,1.04,114/3,
2332,友訊,15.75,0.63,113,-,1.12,114/3,
2337,旺宏,33.70,0.0,113,-,1.47,114/3,
2338,光罩,35.45,0.0,113,-,2.16,114/3,
2340,台亞,24.80,0.0,113,-,1.59,114/3,
2342,茂矽,29.10,1.03,113,970.00,1.93,114/3,
2344,華邦電,56.90,0.0,113,-,2.7,114/3,
2345,智邦,"1,030.00",1.07,113,25.57,11.61,114/3,
2347,聯強,62.00,6.45,113,11.97,1.39,114/3,
2348,海悅,86.50,10.4,113,20.21,2.0,114/3,
2349,錸德,8.88,0.0,113,-,1.18,114/3,
2351,順德,79.60,3.14,113,49.44,2.15,114/3,
2352,佳世達,28.20,3.94,113,34.81,1.61,114/3,
2353,宏��,27.25,6.24,113,19.75,1.12,114/3,
2354,鴻準,64.90,2.16,113,28.10,0.89,114/3,
2355,敬鵬,31.15,5.94,113,21.05,0.75,114/3,
2356,英業達,43.50,3.91,113,17.33,2.22,114/3,
2357,華碩,611.00,5.56,113,13.04,1.76,114/3,
2359,所羅門,130.00,0.77,113,141.30,4.01,114/3,
2360,致茂,811.00,1.11,113,32.36,11.65,114/3,
2362,藍天,40.95,6.18,113,17.06,0.58,114/3,
2363,矽統,48.75,1.03,113,34.09,1.45,114/3,
2364,倫飛,69.10,4.34,113,18.43,4.63,114/3,
2365,昆盈,33.60,1.79,113,105.00,2.5,114/3,
2367,燿華,24.10,2.9,113,18.83,1.4,114/3,
2368,金像電,627.00,0.96,113,39.38,11.64,114/3,
2369,菱生,20.10,1.49,113,-,1.58,114/3,
2371,大同,32.70,9.51,113,7.33,1.15,114/3,
2373,震旦行,57.00,6.49,113,14.73,1.86,114/3,
2374,佳能,80.40,2.24,113,43.46,3.37,114/3,
2375,凱美,93.20,1.61,113,24.21,1.07,114/3,
2376,技嘉,247.00,4.05,113,13.68,2.98,114/3,
2377,微星,107.00,4.67,113,19.74,1.73,114/3,
2379,瑞昱,521.00,4.89,113,17.24,5.63,114/3,
2380,虹光,4.57,0.0,113,-,2.34,114/3,
2382,廣達,281.50,4.62,113,15.81,5.08,114/3,
2383,台光電,"1,495.00",1.11,113,39.41,12.04,114/3,
2385,群光,119.50,8.37,113,10.55,2.11,114/3,
2387,精元,40.15,9.96,113,7.83,0.78,114/3,
2388,威盛,51.30,0.39,113,"1,282.50",1.41,114/3,
2390,云辰,9.28,0.0,113,-,0.76,114/3,
2392,正崴,39.20,6.38,113,-,0.85,114/3,
2393,億光,52.10,10.19,113,10.02,1.21,114/3,
2395,研華,288.00,2.91,113,24.59,4.85,114/3,
2397,友通,62.40,5.45,113,15.41,2.12,114/3,
2399,映泰,22.45,0.0,113,-,1.86,114/3,
2401,凌陽,20.00,0.0,113,-,1.44,114/3,
2402,毅嘉,49.25,4.0,113,19.54,2.27,114/3,
2404,漢唐,791.00,3.54,113,17.76,9.52,114/3,
2405,輔信,17.10,0.99,113,-,1.68,114/3,
2406,國碩,21.60,0.0,113,-,2.11,114/3,
2408,南亞科,146.00,0.0,113,-,2.88,114/3,
2409,友達,11.50,2.61,113,15.54,0.59,114/3,
2412,中華電,131.00,3.82,113,26.46,2.7,114/3,
2413,環科,29.25,0.0,113,-,1.99,114/3,
2414,精技,41.20,6.07,113,13.29,2.15,114/3,
2415,錩新,26.00,4.62,113,15.95,1.49,114/3,
2417,圓剛,36.40,0.55,113,-,1.76,114/3,
2419,仲琦,22.10,0.0,113,-,1.51,114/3,
2420,新巨,49.65,7.05,113,13.53,2.02,114/3,
2421,建準,166.00,2.23,113,22.87,5.58,114/3,
2423,固緯,53.00,3.77,113,18.73,2.76,114/3,
2424,隴華,33.00,0.0,113,-,6.59,114/3,
2425,承啟,28.55,0.53,113,-,1.19,114/3,
2426,鼎元,16.10,0.62,113,-,1.28,114/3,
2427,三商電,28.45,2.46,113,18.72,1.75,114/3,
2428,興勤,188.00,3.24,113,16.25,2.31,114/3,
2429,銘旺科,85.90,0.0,113,-,9.05,114/3,
2430,燦坤,23.45,6.4,113,23.69,0.63,114/3,
2431,聯昌,11.40,0.0,113,-,1.0,114/3,
2432,倚天酷��-創,26.60,6.39,113,15.65,1.43,114/3,
2433,互盛電,47.85,6.27,113,15.59,2.15,114/3,
2434,統懋,30.80,0.0,113,-,2.37,114/3,
2436,偉詮電,44.75,3.35,113,26.17,2.28,114/3,
2438,翔耀,25.45,0.0,113,-,4.74,114/3,
2439,美律,104.00,7.01,113,16.51,1.6,114/3,
2440,太空梭,12.55,0.0,113,-,1.48,114/3,
2441,超豐,69.80,4.3,113,16.62,1.73,114/3,
2442,新美齊,24.65,0.97,113,27.09,1.36,114/3,
2444,兆勁,11.15,0.0,113,-,1.38,114/3,
2449,京元電子,222.00,1.8,113,25.14,5.76,114/3,
2450,神腦,28.90,5.71,113,18.06,1.19,114/3,
2451,創見,192.00,3.17,113,30.09,4.21,114/3,
2453,凌群,52.20,4.98,113,16.42,2.45,114/3,
2454,聯發科,"1,340.00",4.03,113,20.14,5.09,114/3,
2455,全新,138.00,2.33,113,52.47,8.22,114/3,
2457,飛宏,29.05,0.0,113,-,1.37,114/3,
2458,義隆,131.00,5.98,113,16.23,3.92,114/3,
2459,敦吉,66.60,6.01,113,12.11,1.31,114/3,
2460,建通,16.30,0.0,113,-,1.86,114/3,
2461,光群雷,15.15,6.67,113,-,0.9,114/3,
2462,良得電,21.70,3.73,113,57.11,1.1,114/3,
2464,盟立,59.40,0.59,113,-,2.51,114/3,
2465,麗臺,55.80,0.0,113,-,8.06,114/3,
2466,冠西電,53.10,0.0,113,34.26,4.52,114/3,
2467,志聖,197.50,2.53,113,39.11,5.62,114/3,
2468,華經,43.75,2.06,113,38.04,2.46,114/3,
2471,資通,50.60,6.05,113,15.67,2.81,114/3,
2472,立隆電,108.50,2.86,113,14.97,2.22,114/3,
2474,可成,201.50,7.86,113,14.74,0.86,114/3,
2476,鉅祥,87.10,4.02,113,22.39,2.29,114/3,
2477,美隆電,23.95,5.43,113,14.01,0.95,114/3,
2478,大毅,61.90,2.94,113,17.79,1.31,114/3,
2480,敦陽科,150.50,4.93,113,19.03,4.88,114/3,
2481,強茂,85.70,1.63,113,31.62,2.36,114/3,
2482,連宇,17.20,3.55,113,-,1.21,114/3,
2483,百容,18.85,1.59,113,33.66,0.8,114/3,
2484,希華,20.50,3.41,113,36.61,0.88,114/3,
2485,兆赫,21.50,0.0,113,-,1.38,114/3,
2486,一詮,95.50,0.52,113,477.50,4.38,114/3,
2488,漢平,45.55,7.03,113,9.13,1.36,114/3,
2489,瑞軒,14.95,3.34,113,10.53,0.71,114/3,
2491,吉祥全,14.60,0.0,113,20.56,1.41,114/3,
2492,華新科,119.50,2.01,113,24.69,1.22,114/3,
2493,揚博,93.30,5.44,113,21.06,3.85,114/3,
2495,普安,28.85,4.51,113,29.74,1.79,114/3,
2496,卓越,68.20,8.33,113,10.51,1.53,114/3,
2497,怡利電,42.20,4.74,113,16.55,2.25,114/3,
2498,宏達電,49.10,0.0,113,7.12,1.54,114/3,
2501,國建,22.20,4.5,113,9.14,0.89,114/3,
2504,國產,35.40,7.91,113,10.86,1.61,114/3,
2505,國揚,19.15,0.0,113,11.40,0.69,114/3,
2506,太設,9.59,4.17,113,-,0.45,114/3,
2509,全坤建,14.75,0.0,113,-,0.85,114/3,
2511,太子,8.32,3.61,113,27.73,0.53,114/3,
2514,龍邦,14.75,0.0,113,8.89,0.42,114/3,
2515,中工,14.20,3.52,113,34.63,0.98,114/3,
2516,新建,14.40,0.0,113,15.32,1.73,114/3,
2520,冠德,33.00,12.42,113,9.43,0.82,114/3,
2524,京城,44.40,0.0,113,6.43,0.77,114/3,
2527,宏璟,28.80,6.94,113,6.99,0.57,114/3,
2528,皇普,30.35,8.24,113,4.37,1.7,114/3,
2530,華建,28.40,7.61,113,11.23,2.23,114/3,
2534,宏盛,20.40,4.9,113,8.19,0.65,114/3,
2535,達欣工,63.00,5.95,113,10.36,1.67,114/3,
2536,宏普,26.20,1.91,113,16.58,0.73,114/3,
2537,聯上發,10.85,0.0,113,19.38,0.74,114/3,
2538,基泰,11.10,6.31,113,12.76,0.85,114/3,
2539,櫻花建,45.65,5.48,113,10.30,3.29,114/3,
2540,愛山林,48.50,8.25,113,49.49,2.79,114/3,
2542,興富發,38.25,6.54,113,14.66,1.53,114/3,
2543,皇昌,62.00,8.06,113,19.31,3.41,114/3,
2545,皇翔,39.35,11.44,113,10.87,0.99,114/3,
2546,根基,89.20,4.26,113,9.32,2.05,114/3,
2547,日勝生,10.70,5.42,113,3.70,0.78,114/3,
2548,華固,103.50,5.8,113,73.40,1.67,114/3,
2597,潤弘,168.50,5.76,113,15.94,6.68,114/3,
2601,益航,5.55,0.0,113,-,0.61,114/3,
2603,長榮,180.50,18.01,113,4.31,0.72,114/3,
2605,新興,25.30,5.14,113,30.48,0.91,114/3,
2606,裕民,60.40,5.3,113,15.69,1.44,114/3,
2607,榮運,58.30,2.23,113,9.77,1.05,114/3,
2608,嘉里大榮,33.75,4.89,113,16.07,1.29,114/3,
2609,陽明,52.10,14.4,113,6.65,0.57,114/3,
2610,華航,19.30,4.15,113,7.81,1.25,114/3,
2611,志信,15.05,10.9,113,79.21,1.06,114/3,
2612,中航,58.20,3.61,113,8.12,0.9,114/3,
2613,中櫃,24.40,4.1,113,29.05,1.03,114/3,
2614,東森,22.40,5.13,113,11.43,1.81,114/3,
2615,萬海,81.40,4.3,113,6.67,0.89,114/3,
2616,山隆,13.65,2.2,113,-,0.63,114/3,
2617,台航,30.65,4.89,113,9.92,0.75,114/3,
