證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2636,台驊控股,72.90,13.96,111,7.59,1.17,112/2
2637,慧洋-KY,46.90,13.86,111,4.51,0.75,112/1
2642,宅配通,41.40,3.62,111,27.79,1.59,112/1
2645,長榮航太,106.00,3.77,111,25.12,3.46,112/1
2701,萬企,13.00,1.92,111,27.08,0.73,112/1
2702,華園,22.90,3.06,111,9.50,1.1,112/1
2704,國賓,50.70,0.99,111,14.36,1.2,112/1
2705,六福,19.40,0.0,111,-,0.76,112/1
2706,第一店,15.65,2.24,111,26.08,0.81,112/1
2707,晶華,244.50,3.69,111,30.75,8.81,112/1
2712,遠雄來,35.65,0.25,111,108.03,3.04,112/1
2722,夏都,65.30,1.84,111,44.42,3.62,112/1
2723,美食-KY,119.00,2.1,111,43.59,1.92,112/1
2727,王品,298.00,1.63,111,18.17,6.06,112/2
2731,雄獅,168.00,0.0,111,-,6.42,112/1
2739,寒舍,50.50,0.0,111,-,6.38,112/1
2748,雲品,83.10,1.53,111,30.44,3.37,112/2
2753,八方雲集,161.00,4.66,111,16.67,3.47,112/1
2801,彰銀,18.80,4.26,111,16.49,1.14,112/1
2809,京城銀,36.55,3.01,111,13.49,0.92,112/1
2812,台中銀,14.90,4.83,111,13.55,1.05,112/1
2816,旺旺保,20.55,0.0,111,-,0.9,112/1
2820,華票,14.65,3.41,111,17.65,0.85,112/1
2832,台產,23.00,4.35,111,9.91,0.79,112/1
2834,臺企銀,14.35,2.37,111,10.03,1.05,112/1
2836,高雄銀,12.30,0.0,111,17.57,0.89,112/1
2838,聯邦銀,15.50,3.87,111,14.09,0.93,112/1
2845,遠東銀,11.65,3.52,111,12.26,0.84,112/1
2849,安泰銀,14.60,2.74,111,-,0.88,112/1
2850,新產,54.00,4.7,111,9.03,1.08,112/1
2851,中再保,23.80,0.0,111,70.00,1.1,112/1
2852,第一保,16.05,4.49,111,9.33,0.61,112/1
2855,統一證,20.45,1.91,111,17.04,0.98,112/1
2867,三商壽,5.22,0.0,111,-,0.63,112/1
