Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""066746""",上銀元大4A購04  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""066854""",台塑元富47購05  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""067774""",國巨國泰48購03  ,0,0,0,"300,000","200,000","100,000","300,000","200,000","100,000"
"=""067956""",玉晶光永豐4B購02,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""068083""",富世達凱基47購01,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""068209""",滬深2X群益48購05,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""06854P""",智邦元大47售05  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""068623""",中興電統一3C購01,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""068795""",世紀鋼富邦48購02,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""068935""",華新科統一3C購03,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""069069""",鈺齊凱基4A購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""069222""",鴻海元富48購05  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""069249""",川湖富邦4A購01  ,0,0,0,"110,000","10,000","100,000","110,000","10,000","100,000"
"=""06925P""",迅得永豐4A售01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""06935P""",萬海凱基48售01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""069608""",晶心科統一52購03,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""06968P""",力積電元大4C售01,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""069931""",保瑞元大48購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""070377""",貿聯凱基49購02  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""07052P""",昇陽半凱基48售05,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""070781""",長榮元富51購04  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""071017""",裕民統一52購05  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""071215""",晟銘電國泰49購02,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""071219""",台積電富邦49購09,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""071292""",新日興元富48購04,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""071619""",臺股指群益48購19,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""072190""",中興電凱基48購03,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""072497""",矽格元大48購06  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""072506""",鈺齊元大48購06  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""072547""",三芳凱基49購02  ,0,0,0,"200,000","100,000","100,000","200,000","100,000","100,000"
"=""07308P""",日本2X元大49售01,0,0,0,"105,000","5,000","100,000","105,000","5,000","100,000"
"=""073205""",威健群益4A購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""073675""",東科元大49購04  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
