104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
2612,中航,17.88,4.55,0.68
2613,中櫃,11.11,6.14,0.42
2614,東森,-,0.0,0.52
2615,萬海,8.32,7.98,1.48
2616,山隆,11.35,6.38,0.93
2617,台航,22.96,3.99,0.68
2618,長榮航,53.57,0.0,1.86
2634,漢翔,18.30,2.44,3.2
2637,慧洋-KY,10.59,7.77,0.68
2642,宅配通,18.90,3.57,1.68
2701,萬企,19.49,4.34,0.88
2702,華園,21.33,4.06,1.26
2704,國賓,22.92,2.7,1.03
2705,六福,11.08,1.58,0.7
2706,第一店,19.68,4.24,1.13
2707,晶華,23.49,4.21,6.69
2712,遠雄來,24.46,4.05,1.94
2722,夏都,23.08,2.67,2.69
2723,美食-KY,36.24,0.88,2.82
2727,王品,35.06,3.15,4.81
2731,雄獅,23.63,2.86,4.65
2801,彰銀,12.93,5.16,1.13
2809,京城銀,6.36,5.58,1.12
2812,台中銀,8.12,8.44,0.82
2816,旺旺保,6.71,5.85,1.14
2820,華票,10.92,6.4,0.69
2823,中壽,11.43,2.25,1.15
2832,台產,11.60,4.15,1.05
2833,台壽保,12.25,2.53,1.76
2834,臺企銀,9.01,7.87,0.77
2836,高雄銀,12.58,5.45,0.59
2838,聯邦銀,8.23,8.23,0.78
2841,台開,1.41,10.34,0.47
2845,遠東銀,8.30,8.58,0.84
2847,大眾銀,13.62,6.25,0.98
2849,安泰銀,7.65,4.2,0.84
2850,新產,7.26,4.9,0.87
2851,中再保,9.30,7.55,0.91
2852,第一保,9.96,2.69,0.85
2855,統一證,10.91,5.85,0.78
2856,元富證,9.34,7.14,0.66
2867,三商壽,6.63,7.03,0.9
2880,華南金,11.96,7.01,1.12
2881,富邦金,9.03,5.11,1.37
2882,國泰金,11.48,3.97,1.4
2883,凱基金,14.18,5.8,0.89
2884,玉山金,13.89,6.28,1.34
2885,元大金,8.83,6.03,0.86
2886,兆豐金,10.64,5.39,1.21
2887,台新新光金,88.93,0.8,1.0
2888,新光金,9.91,5.48,0.76
2889,國票金,13.40,6.99,0.74
2890,永豐金,9.20,9.36,0.98
2891,中信金,8.43,7.09,1.46
2892,第一金,11.91,7.22,1.1
2901,欣欣,57.10,1.54,2.41
2903,遠百,19.61,5.67,0.79
2904,匯僑,11.40,7.8,1.79
2905,三商,6.08,3.34,0.91
2906,高林,12.14,7.06,0.81
2908,特力,13.51,5.65,1.33
2910,統領,39.87,2.34,2.28
2911,麗嬰房,-,0.0,0.91
2912,統一超,26.93,3.29,7.75
2913,農林,11.06,4.49,0.64
2915,潤泰全,7.73,9.24,2.1
2923,鼎固-KY,13.51,0.88,0.81
2929,淘帝-KY,8.54,5.8,1.99
3002,歐格,21.64,6.72,0.88
3003,健和興,14.11,2.99,1.31
3004,豐達科,-,0.0,1.86
3005,神基,9.26,6.53,0.85
3006,晶豪科,6.73,9.31,1.06
3008,大立光,19.88,1.65,8.2
3010,華立,8.52,7.16,1.08
3011,今皓,-,0.0,0.43
3013,晟銘電,40.21,0.0,1.55
3014,聯陽,9.98,8.64,0.96
3015,全漢,11.86,0.62,0.49
3016,嘉晶,-,0.99,0.9
3017,奇鋐,9.40,4.59,0.92
3018,隆銘綠能,34.36,3.1,1.33
3019,亞光,-,0.0,0.66
3021,鴻名,16.17,7.22,0.85
3022,威強電,9.56,5.95,1.84
3023,信邦,11.28,6.21,1.8
3024,憶聲,-,0.0,0.5
3025,星通,-,1.71,0.81
3026,禾伸堂,9.32,8.62,0.98
3027,盛達,44.11,3.24,0.76
3028,增你強,9.77,10.06,0.7
3029,零壹,13.73,4.76,1.37
3030,德律,8.62,8.11,2.09
3031,佰鴻,19.22,5.1,0.69
3032,偉訓,7.04,13.65,0.8
3033,威健,12.15,8.82,1.29
3034,聯詠,9.12,8.73,2.32
3035,智原,18.05,4.92,1.77
3036,文曄,8.95,9.2,1.06
3037,欣興,-,3.23,0.53
3038,全台,7.75,0.0,0.68
3040,遠見,4.52,7.28,1.51
3041,揚智,21.33,6.17,0.67
3042,晶技,10.86,7.17,1.19
3043,科風,-,0.0,4.52
3044,健鼎,10.10,5.5,0.92
3045,台灣大,18.95,5.46,4.37
3046,建碁,-,0.0,1.35
3047,訊舟,20.93,6.67,0.75
3048,益登,8.11,9.6,1.36
3049,精金,10.47,0.0,0.58
3050,鈺德,-,0.0,0.51
3051,力特,3.28,0.0,1.21
3052,夆典,47.52,8.02,0.68
3054,立萬利,-,0.87,1.29
3055,蔚華科,6.06,9.56,0.65
3056,富華新,6.34,12.62,0.79
3057,喬鼎,6.98,12.13,1.05
3058,立德,-,5.29,0.56
3059,華晶科,34.45,3.98,0.71
3060,銘異,14.73,3.21,2.35
3062,建漢,12.04,4.24,0.97
3090,日電貿,10.27,8.05,1.36
3094,聯傑,25.00,5.35,1.4
3130,一零四,13.98,5.07,3.27
3149,正達,-,0.0,0.58
3164,景岳,-,0.0,1.3
3167,大量,9.15,8.25,1.44
3189,景碩,8.68,5.97,1.07
3209,全科,8.42,10.33,1.51
3229,晟鈦,79.52,0.0,2.32
3231,緯創,12.53,7.68,0.71
3257,虹冠電,8.23,9.11,1.41
3266,昇陽,-,6.76,0.89
3296,勝德,46.67,1.79,1.01
3305,昇貿,13.42,7.49,0.77
3308,聯德,88.88,0.0,0.63
3311,閎暉,-,6.74,0.75
3312,弘憶股,13.33,14.0,0.64
3315,宣昶,10.95,9.73,0.76
3338,泰碩,7.80,11.76,1.05
3356,奇偶,13.68,7.8,2.79
3376,新日興,11.39,4.94,1.3
3380,明泰,12.35,8.45,0.71
3383,新世紀,-,0.0,0.6
3406,玉晶光,-,0.0,0.82
3416,融程電,12.64,7.95,1.76
3419,譁裕,-,0.0,0.77
3432,台端,16.17,4.02,0.55
3437,榮創,9.96,5.56,1.1
3443,創意,23.06,4.24,2.68
3450,聯鈞,10.71,5.96,3.21
3454,晶睿,15.79,5.8,2.1
3474,華亞科,2.30,0.0,0.91
3481,群創,3.86,5.98,0.5
3494,誠研,34.86,2.25,0.94
3501,維熹,9.25,6.42,0.89
3504,揚明光,18.64,4.81,0.86
3514,昱晶,-,0.0,0.59
3515,華擎,16.93,7.98,0.97
3518,柏騰,-,3.99,1.21
3519,綠能,-,0.0,0.78
3532,台勝科,18.82,3.14,1.23
3533,嘉澤,8.63,6.11,1.07
3535,晶彩科,-,0.0,0.71
3536,誠創,-,0.0,1.43
3545,敦泰,-,1.22,0.86
3550,聯穎,11.90,8.0,0.47
3557,嘉威,-,0.0,0.6
3559,全智科,8.48,6.98,1.06
3561,昇陽光電,-,0.61,0.76
3573,穎台,-,0.0,0.36
3576,聯合再生,-,0.84,0.98
3579,尚志,-,0.0,0.33
3583,辛耘,19.35,2.5,2.48
3584,介面,-,0.0,0.88
3588,通嘉,12.80,7.41,1.02
3591,艾笛森,-,1.66,0.63
3593,力銘,-,0.0,1.07
3596,智易,9.07,8.4,0.66
3598,奕力,6.46,10.38,0.91
3605,宏致,5.42,6.59,0.54
3607,谷崧,7.08,7.76,0.91
3617,碩天,13.16,6.35,1.52
3622,洋華,-,0.0,0.28
3645,達邁,15.27,4.01,2.18
3653,健策,12.58,8.61,1.01
3661,世芯-KY,26.78,1.45,1.01
3665,貿聯-KY,17.15,4.04,2.82
3669,圓展,-,2.56,0.63
3673,TPK-KY,-,0.38,0.98
3679,新至陞,13.53,8.54,0.68
3682,亞太電,-,0.0,1.15
3686,達能,-,0.0,0.52
3694,海華,-,0.0,1.59
3698,隆達,12.44,6.93,0.64
3701,大眾控,-,0.0,1.53
3702,大聯大,10.46,6.81,1.33
3703,欣陸,-,0.0,0.42
3704,合勤控,-,1.33,0.57
3705,永信,17.17,5.02,2.17
3706,神達,16.10,2.61,0.61
4104,佳醫,16.14,5.98,0.78
4106,雃博,18.05,2.58,1.84
4108,懷特,-,0.0,1.35
4119,旭富,18.08,4.08,2.29
4133,亞諾法,32.27,3.63,1.37
4137,麗豐-KY,23.25,3.2,5.0
4141,龍燈-KY,-,1.82,0.96
4142,國光生,-,0.0,1.06
4144,康聯-KY,11.20,6.35,1.4
4164,承業醫,32.21,4.28,1.33
4306,炎洲,-,2.23,0.71
4414,如興,-,2.78,1.16
4426,利勤,26.29,2.05,5.92
4526,東台,12.87,5.15,1.01
4532,瑞智,9.80,9.11,1.26
4536,拓凱,18.76,3.91,2.24
4720,德淵,11.32,6.64,1.08
4722,國精化,10.49,5.84,1.22
4725,信昌化,-,0.0,0.88
4733,上緯,18.49,3.66,5.63
4737,華廣,44.00,1.53,2.32
4746,台耀,17.81,3.85,1.45
4755,三福化,11.83,3.1,0.83
4904,遠傳,21.03,5.11,3.16
4906,正文,64.38,3.24,0.56
4912,聯德控股-KY,11.50,5.94,1.88
4915,致伸,9.72,5.11,1.63
4916,事欣科,-,8.93,0.97
4919,新唐,11.53,5.48,1.52
4930,燦星網,2.45,25.24,0.42
4934,太極,45.97,3.09,0.88
4935,茂林-KY,7.46,5.93,0.76
4938,和碩,12.72,4.54,1.64
4942,嘉彰,15.43,7.59,0.37
4952,凌通,9.33,9.77,1.48
4956,光鋐,11.18,4.22,0.57
4958,臻鼎-KY,9.81,4.35,1.97
4960,誠美材,4.82,12.53,0.77
4976,佳凌,-,1.57,1.31
4977,眾達-KY,9.76,9.42,1.71
4984,科納-KY,12.86,7.84,0.85
4994,傳奇,45.94,2.69,6.46
4999,鑫禾,5.42,10.61,1.03
5007,三星,20.93,4.58,3.88
5203,訊連,11.79,9.26,1.54
5215,科嘉-KY,6.74,9.66,0.82
5225,東科-KY,8.31,11.61,1.43
5234,達興材料,10.18,6.32,1.64
5243,乙盛-KY,11.63,7.6,0.89
5259,奕智博,-,0.0,1.05
5264,鎧勝-KY,12.56,4.14,2.05
5269,祥碩,43.54,1.82,7.24
5285,界霖,12.85,6.42,1.67
5288,豐祥-KY,10.86,6.03,1.66
5305,敦南,12.62,5.32,0.71
5388,中磊,16.01,4.62,2.31
5434,崇越,9.30,7.56,1.45
5469,瀚宇博,5.86,7.06,0.32
5471,松翰,12.58,8.93,1.8
5484,慧友,-,0.0,0.58
5515,建國,19.80,4.95,0.59
5519,隆大,5.20,7.71,0.97
5521,工信,-,0.0,0.9
5522,遠雄,4.75,12.69,0.61
5525,順天,5.87,8.57,1.0
5531,鄉林,10.04,7.72,0.95
5533,皇鼎,3.67,6.82,0.64
5534,長虹,7.87,7.72,1.51
